HUD frame time nsec:,16666000

Range Index,Elapsed Time, First Event,Last Event
0,8192,5,5
1,162848,8,8
2,3136,22,22
3,3712,36,36
4,2720,48,48
5,222752,58,58
6,9984,72,72
7,11808,82,82
8,1888,91,91
9,2848,100,100
10,672,108,108
11,14464,116,116
12,6816,138,138
13,15840,160,160
14,6848,180,180
15,239648,197,197
16,7136,220,220
17,11296,237,237
18,3392,252,252
19,1504,267,267
20,12608,278,278
21,4288,281,281
22,7040,287,287
23,6496,304,304
24,35072,333,333
25,5504,341,341
26,5056,357,357
27,24800,386,386
28,4160,394,394
29,4128,410,410
30,16928,439,439
31,4320,447,447
32,2112,464,464
33,8128,493,493
34,6464,501,501
35,52608,523,523
36,5888,527,527
37,28352,535,535
38,1856,555,555
39,13348384,559,559
